你好|你好啊
早上好|早上好
晚上好|晚上好
再见|再见！
好久不见|好久不见
想死你了|我也想死你了
谢谢你|不用谢。
爱你|爱你
哈啰|哈啰
你叫什么名字|蛋蛋
你几岁了|三岁
现在几点了|13
今天天气怎么样|我帮你查查看
我们现在在哪里|定位一下
你能给我讲个笑话吗|我妻子想减肥，所以她每天都去骑马。结果马一个月瘦了四十斤。
你是男孩还是女孩呀|男孩纸
你会几种语言呀|很多很多种
你能陪我玩吗|当然可以
说话可以大声一点吗|没问题
天气真好|适合出门走动走动
天气太糟糕了|最好不要出门
下雨了|带伞了吗
雨好大|先避避雨
我讨厌艳阳天|我也讨厌
好晒啊|要好好防晒呀
今天好冷|多穿衣服。
今天好热|"对啊, 热死人了"
风好大|风太大，我听不清你说话
雾太大了看不清路|注意安全
打雷了好可怕|不怕不怕
下雪了诶|你下雪了?
好烦啊|怎么了?
好开心|发生了什么好事?
太激动了|发生什么了?
我好难过|怎么了？
我想哭|哭吧哭吧哭吧
太好笑了|什么事这么好笑?
我好伤心|你怎么了？
心好痛|怎么了？
好累啊|休息休息
我好疲惫|休息休息
我爱你|我也爱你
我讨厌你|"我这么可爱,为什么要讨厌我"
你真是太棒啦|这么夸我我会骄傲的
你好厉害啊|这么夸我我会骄傲的
吓死我了|怎么啦?摸摸头
我想回家|那就回呗
我想爸妈了|打个电话回家
不知道小孩在家有没有听话|听你妹啊！
想回家撸猫|猫主子应该也想你了
